killed_by,killer_name,killer_placement,match_id,time,victim_name,victim_placement
Hit by Car,ChinaDragonMrLi,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,989,ChinaDragonMrLi,
AKM,F-F0F,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1602,STEVEN181,6.0
Pan,WeChatGG,40.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,19CENT,32.0
S686,SD18701850,36.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,156,2991660903,39.0
M416,julierking,3.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1761,CnM-pi,4.0
S12K,wangzhengguang3,22.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,145,DARKCROW356,41.0
Down and Out,ALTL7777,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,kuangshakuang,48.0
AKM,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,776,Davebeckham,18.0
Down and Out,You_KING520,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1806,Mephisto_z,2.0
Grenade,ChinaMXG,11.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1233,ChinaMXG,11.0
Grenade,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1595,flyawaybaby,8.0
Grenade,Newkang,15.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1094,Newkang,15.0
Kar98k,Lychaiyoushei,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1717,lkhhnahha,3.0
Down and Out,tangwang123,23.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,364,HYQ7777777,27.0
Kar98k,Lychaiyoushei,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1785,julierking,3.0
Kar98k,STEVEN181,6.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1052,cqy1994,13.0
Micro UZI,Luoxiansnb,23.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,364,zyw7777777,27.0
Down and Out,xiaoliangliang2,6.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,770,Zombie1clown,19.0
M416,#unknown,11.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,307,forevershihaha,28.0
S1897,naRi1-,42.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,82,zzhixiang,43.0
S1897,naRi1-,42.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,110,Wangyongyi,43.0
S1897,TiDz333,32.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,148,WWWWWWWWWWXVGBDC,40.0
Down and Out,SD18701850,36.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,156,Gy_XiaoFei,39.0
Kar98k,wolaile2017,12.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1153,yj990611,14.0
S1897,TiDz333,32.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,202,Dove-YG,36.0
M416,lkhhnahha,3.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1595,xuewenbi,7.0
Down and Out,CnM-pi,4.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,906,LYcoolbrother,17.0
Falling,,,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,999,fei144,4.0
M416,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,163,beilunji,37.0
Down and Out,lkhhnahha,3.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1307,ShaoJL,10.0
S12K,Wangyongyi,43.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,72,#unknown,47.0
Down and Out,Minigun_Aziz,26.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,273,wusheng321,29.0
S686,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,162,JJ315,38.0
M416,flyawaybaby,8.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,807,BOSS-66666,9.0
Bluezone,,,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1153,CoGheRoiNha,15.0
RedZone,,,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,638,Aneveryh,22.0
Hit by Car,xuewenbi,7.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,159,Lycoris0,25.0
M16A4,lkhhnahha,3.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1307,DUANJF,10.0
Punch,wangzhengguang3,22.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,140,LAJISHASINI,41.0
M16A4,xiaoliangliang2,6.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,386,yoyofy,26.0
S12K,wangzhengguang3,22.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,252,ECAdrinkingN,30.0
Down and Out,xiaoliangliang2,6.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,386,Minigun_Aziz,26.0
S12K,ECAdrinkingN,30.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,109,KingGanQuess,44.0
Down and Out,Lychaiyoushei,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,776,juedishashen111,18.0
Down and Out,zyw7777777,27.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,366,tangwang123,23.0
UMP9,JJ315,38.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,99,TT10GM,46.0
M16A4,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1226,ningning113344,12.0
Down and Out,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,163,xiongmao14,37.0
SCAR-L,ChinaMXG,11.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1189,#unknown,13.0
M416,lkhhnahha,3.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1504,JIAN7878,7.0
Bluezone,,,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,764,SD18701850,36.0
AKM,STEVEN181,6.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,770,ALTL7777,19.0
Machete,glassware,33.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,92,Wqcn01,45.0
Micro UZI,Luoxiansnb,23.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,106,Pss520,45.0
M416,You_KING520,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1806,Lychaiyoushei,2.0
Down and Out,Lychaiyoushei,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1226,wolaile2017,12.0
M16A4,ningning113344,12.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,449,Luoxiansnb,23.0
S686,Lychaiyoushei,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,157,CCTV-DADIE,38.0
AKM,fei144,4.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,906,My-New-Broad,17.0
M416,4674657456456,9.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,386,DouYuTv_Biwang,25.0
Bluezone,Newkang,15.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,638,wangzhengguang3,22.0
Kar98k,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1186,TokyomuJ,14.0
Vector,CCTV-DADIE,38.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,114,naRi1-,42.0
S686,Gy_XiaoFei,39.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,150,xiaolong6756,36.0
Down and Out,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,421,YDD845120,24.0
S12K,Wangyongyi,43.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,91,#unknown,47.0
S12K,Wangyongyi,43.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,110,ShiQiYaING,42.0
M416,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,713,#unknown,11.0
M24,Ku1iJ1an,1.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1775,jyxr,3.0
M416,quxiaosong,2.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1705,Acmecondor,4.0
Down and Out,huoyaopao,11.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1104,GamingAfterDark,16.0
Down and Out,llikyou,8.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1336,Donjour,13.0
Down and Out,YY-baobao,5.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1775,GapingBaconHole,3.0
Pan,Agonisssss,18.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,300,Gluconaft,30.0
UMP9,zhangyuqi43,15.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,253,PDmimi,39.0
M16A4,Gluconaft,30.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,151,Biu-biuBiu-BoOM,40.0
P1911,GamingAfterDark,16.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,145,Yzmo5207,42.0
SKS,SuperBHP,21.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,591,IMIK,30.0
M416,quxiaosong,2.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1510,zhakesi521,10.0
P92,manat888,46.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,155,Eat_chickentoday,43.0
Kar98k,USSSA,15.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1104,KingHistoria,16.0
M16A4,Agonisssss,18.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,379,LawlitDraco,37.0
Micro UZI,a360465344,8.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,836,Emran626,22.0
M16A4,Agonisssss,18.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,400,TLB_BOOM,37.0
M16A4,YY-baobao,5.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,622,Sun_xing_zhe,28.0
Down and Out,Hpsii,1.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1642,scvlian,7.0
SCAR-L,xiaohai066,14.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1252,AndroLore,11.0
M16A4,Jisung35,22.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,104,ChinaYhang,17.0
AKM,taiyang12,24.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,514,nl-91,32.0
Micro UZI,obraznayr,4.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,410,momobujinqu,29.0
UMP9,WNW1981,14.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,933,Da-damoo,19.0
M416,zhakesi521,10.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1477,HAMPLAO,2.0
Hit by Car,longdaye789,9.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,182,UeYHR,44.0
SCAR-L,KWJenner,28.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,400,1050721056,35.0
Down and Out,zhangyuqi43,15.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,861,FXXKZK,20.0
M416,quxiaosong,2.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1766,obraznayr,4.0
VSS,shenshuofeng,29.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,380,zangtaotao,38.0
SCAR-L,llikyou,8.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1336,EEVEE_,13.0
Down and Out,obraznayr,4.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,363,keledidi,38.0
P92,fangcongquan,20.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,165,DUWANSHISHABI,47.0
P92,fangcongquan,20.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,157,CLENGCISGOD,47.0
M416,scvlian,7.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,850,SuperBHP,21.0
UMP9,Ku1iJ1an,1.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,176,Souuy,45.0
Micro UZI,GapingBaconHole,3.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,222,ahoaryou,41.0
death.ProjMolotov_DamageField_C,PandaTV648153,43.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,206,PandaTV648153,43.0
Kar98k,KWJenner,28.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,432,Link_w,35.0
Down and Out,AndroLore,11.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,511,uu-98K,33.0
M416,obraznayr,4.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,601,shenshuofeng,29.0
Bluezone,,,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1650,BBQjuesha,6.0
Down and Out,longdaye789,9.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,182,Sxy520,44.0
Groza,huoyaopao,11.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1274,USSSA,15.0
M16A4,CC-didi,31.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,384,acemvps,34.0
Down and Out,USSSA,15.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,253,MarshMelle,39.0
M16A4,AndroLore,11.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,511,damsasjdaknsda,33.0
M416,AndroLore,11.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1178,zhangyuqi43,15.0
VSS,pwp121,40.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,226,Drakeh,24.0
UMP9,jyxr,3.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1760,YY-baobao,5.0
AKM,Da-damoo,19.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,693,taiyang12,24.0
Kar98k,BBQjuesha,6.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1629,a360465344,8.0
Mini 14,Eat_chickentoday,43.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,108,omar888,46.0
AKM,llikyou,8.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,811,Jisung35,22.0
Kar98k,Ku1iJ1an,1.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1642,Oldspeak,7.0
M416,Oldspeak,7.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,936,Agonisssss,18.0
Punch,zangtaotao,38.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,108,qiyanyumao,48.0
Mini 14,a360465344,8.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,1597,Zyander,9.0
AKM,Da-damoo,19.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,430,LuoliZzzzzzz,36.0
Kar98k,zhangyuqi43,15.0,2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,861,fangcongquan,20.0
